,MDS_x,MDS_y,Entity,tsne_x,tsne_y,scluster6,kmeans6
4328,2.1659161596048007,-5.1010780352151786,French Guiana,15.594844,8.750889,4,3
4386,0.2677154059855153,4.216127820107508,French Polynesia,-1.5010513,-9.367536,0,2
13581,-0.9106512312026721,6.010287697215034,French Southern Territories,-6.585594,-10.750045,0,2
4444,-2.085528404163749,7.791120434657716,Gabon,-18.809416,-7.600217,0,2
4502,-1.8553891308033752,7.440318798682941,Gambia,-18.502226,-6.193121,0,2
4560,2.9660039739288755,0.40655785808834977,Georgia,-0.48112258,2.7188594,0,0
4587,1.0452063111676273,-12.557595872209022,Germany,15.687638,14.54371,4,3
4645,4.500999776514039,2.3066098363274836,Ghana,13.8777485,0.07204142,0,0
13582,0.53126532538845,1.6330419309159,Gibraltar,2.9015958,-2.2864819,0,0
4703,-3.461632560072174,1.0170482564583956,Greece,7.0049233,-4.865488,0,0
4761,-0.7641125102554537,-0.20220657434319705,Greenland,6.9911065,1.1272869,0,0
4819,-0.8490315365904747,0.302152327154834,Grenada,6.3951902,0.42520756,0,0
4877,-0.9462971824585471,0.8042678087866421,Guadeloupe,5.6520143,-0.4127142,0,0
4935,-1.056086886912991,1.2997234497640089,Guam,4.8945465,-1.0392084,0,0
4993,-2.414001839629929,0.4850427967202655,Guatemala,5.7731476,-2.9962003,0,0
13583,0.021202528400160185,2.5259291461956703,Guernsey,1.4890966,-2.6434145,0,0
5051,2.1504125395160076,4.498708540514621,Guinea,0.43560103,-11.542493,0,2
5109,-2.770884316054296,6.580725945011278,Guinea-Bissau,-14.439817,-6.78418,0,2
5167,-2.252065307871001,4.827903083710006,Guyana,-7.3712425,-5.346906,0,2
5225,-2.888294427683477,7.458803755298241,Haiti,-16.54447,-8.772412,0,2
13584,-3.0035286084083035,6.849480331782638,Hanover,-14.601775,-7.749082,0,2
13585,-3.1452322814074325,6.23077381738207,Heard Island and McDonald Islands,-12.963225,-6.373409,0,2
13586,-3.3024066308012503,5.603974002938818,Hesse Electoral,-11.675756,-5.3789144,0,2
13587,-3.4641952042976714,5.006860627443622,Hesse Grand Ducal,-10.724723,-4.984716,0,2
5283,-3.6475268846961098,4.310311935551551,Honduras,-9.705441,-4.302285,0,2
5341,-0.5192266130196016,-1.6896894705652155,Hong Kong,9.020847,4.3820944,4,0
5399,-0.5584360916041973,-1.9083339359696376,Hungary,8.904145,5.46043,4,0
5457,0.14318683224986434,-5.522126891026441,Iceland,13.378361,10.104984,4,3
5515,1.4166929892439755,-5.104986967514328,India,13.421741,8.675304,4,3
5573,1.329938735196876,-2.776575770387643,Indonesia,12.634889,5.6737857,4,3
5631,-0.41245683907729785,-0.16832880012657037,Iran,6.2255354,2.0013058,0,0
5689,-1.5113475642320282,4.203223222696914,Iraq,-4.66615,-5.4450006,0,2
5747,-2.266379456639753,-0.36695708783131287,Ireland,7.6198483,-3.0310571,0,0
13588,-1.86173081351221,-3.736936948245391,Isle of Man,9.779136,9.075935,4,3
5805,-1.3019689913020371,-7.370855675758024,Israel,12.848258,12.24287,4,3
5863,2.1339932320430055,-4.94904154189103,Italy,14.661424,8.749957,4,3
5921,0.5775492962302617,2.0336931150986386,Jamaica,2.3659663,-3.4172661,0,0
5979,-3.8250670244879514,-4.450084412260793,Japan,9.705494,11.250128,4,3
13589,-0.9406463047604509,-1.5664403611788813,Jersey,8.764053,1.7146899,0,0
6037,1.6593709421694103,1.0109246404270251,Jordan,11.354827,0.7702331,0,0
6095,0.3270480839286665,5.6359816537988445,Kazakhstan,-3.986389,-11.117335,0,2
6122,-2.9003590591153126,7.110811960544628,Kenya,-15.652822,-8.346711,0,2
6180,-2.202798954820153,6.85569646331909,Kiribati,-16.36942,-6.1574364,0,2
13590,-2.2269414850562512,7.123749784306911,Kosovo,-17.019676,-6.697179,0,2
6238,-2.278471419214859,7.3465802006178516,Kuwait,-17.618721,-7.146836,0,2
6296,-2.4872657233656628,6.603261715985822,Kyrgyzstan,-15.007279,-7.0776052,0,2
6323,-0.7435384979903934,6.988221629392599,Land Locked Developing Countries,-14.702869,-2.663651,0,2
6381,-2.4846595359606125,4.528345245819956,Laos,-7.1702485,-4.639274,0,2
6439,-2.2465537233002637,2.730477914870236,Latvia,-3.4946055,-1.6693965,0,0
6466,1.6964011818910123,4.627431991848595,Least Developed Countries,-2.8776956,-12.816637,0,2
6524,-3.542361284859528,-0.24944636730211228,Lebanon,7.992079,-4.387618,0,0
6582,0.6656827187544403,-3.3995252081467506,Lesotho,12.656615,6.489858,4,3
6640,-0.1218939588052847,1.0567294220572485,Liberia,4.3206806,0.06680526,0,0
6698,-1.0306484712035349,5.455220186269106,Libya,-6.2293897,-10.034002,0,2
13591,0.05541963957762765,4.124097701855788,Liechtenstein,-3.4617674,-7.60209,0,2
6756,2.550029201523337,2.7421625398059963,Lithuania,-1.0485622,2.4301827,0,0
6783,4.996356985401232,-0.35707500753124244,Low Income Food Deficit Countries,4.487417,7.8606267,0,0
6841,-2.2234712097300497,-15.870590320447187,Luxembourg,15.118235,16.235435,3,4
6860,4.886644128434595,-16.440867076908933,Macao,19.045826,13.284688,5,4
6918,2.5049822440803764,4.144831399420885,Madagascar,1.0142909,-11.754303,0,0
6976,-2.7301083322791486,5.963719716247292,Malawi,-13.440946,-5.8471966,0,2
7034,-4.218155162401894,-0.15089065675156765,Malaysia,9.722012,-3.397137,0,0
7092,-1.8908325733393403,5.86860639457709,Maldives,-9.065946,-8.784357,0,2
7150,-0.12768943570822158,3.249423046439629,Mali,-0.013426356,-6.175989,0,0
7208,-10.951051609761445,-3.3754497634022367,Malta,8.968319,-7.7264156,3,0
13592,2.0694114498197123,2.0020920950853105,Marshall Islands,1.6108214,-5.780412,0,0
7266,-1.0728733300338658,-3.000963983251167,Martinique,10.283304,8.347515,4,3
7324,-0.43567079759751803,-6.504994773488263,Mauritania,13.101668,11.193745,4,3
7382,0.8764376528899891,-9.36530325862627,Mauritius,15.359191,12.552718,4,3
13608,1.5005420422185978,-5.682885073704841,Mayotte,15.156956,9.536014,4,3
13609,2.0486605691535624,-2.116991123166539,Mecklenburg Schwerin,12.572978,4.1587763,4,0
7440,2.9241379740706646,1.5952032895243176,Melanesia,12.873051,0.29227868,0,0
7498,-2.618343968400631,2.845186095330869,Mexico,-5.793968,-1.3529434,0,0
7556,-2.822532198703943,3.105497473329051,Micronesia (country),-4.5507345,-2.6717455,0,2
7584,-0.8511312984241316,7.02186397567399,Micronesia (region),-18.995556,-3.45032,0,2
7642,-2.542954317175513,8.549909735442796,Middle Africa,-20.367453,-10.301731,0,2
13610,-2.305049684412519,7.465400355466464,Modena,-17.640224,-8.276531,0,2
7700,-1.8980998464205359,6.47514077760404,Moldova,-10.413483,-8.646104,0,2
13611,-1.2957703409767953,5.653818869730701,Monaco,-8.183698,-8.57965,0,2
7727,-0.6397221306666512,4.825215152941922,Mongolia,-6.084801,-8.219847,0,2
7785,-1.4994738123846236,1.8036880369008905,Montenegro,-0.12781912,-0.25961733,0,0
7798,-0.4092127949344963,0.8082878942553042,Montserrat,5.2326965,0.29473618,0,0
7856,-1.0572898515045777,3.6663032419034365,Morocco,-3.2869992,-5.149769,0,2
7914,-1.3894069163886655,7.006319550747554,Mozambique,-18.207565,-4.497752,0,2
7972,-2.7357883261909257,7.8707439491268465,Myanmar,-18.105124,-9.787126,0,2
13612,-2.409499826144681,7.412686114215238,Nagorno-Karabakh,-17.45624,-8.557772,0,2
8030,-1.8410280953079108,7.095154424304473,Namibia,-17.587646,-5.5850525,0,2
8088,-1.4391076766372137,7.22745158775839,Nauru,-18.9801,-4.987889,0,2
8146,-3.543910095418892,7.210715926237603,Nepal,-15.155016,-9.8945675,0,2
8204,4.562866095352955,4.366943231689735,Net Food Importing Developing Countries,-7.791058,2.00425,0,0
8262,-0.02333067070539915,-25.99583577304833,Netherlands,17.79245,17.056032,0,4
8320,5.3378240691312175,-22.99402789376355,Netherlands Antilles,19.60145,14.46116,5,4
8378,3.6505194418671767,-6.569890047502538,New Caledonia,16.724886,9.372838,4,3
8436,-0.29418416964153227,1.7324974477809862,New Zealand,2.9298606,-1.1818581,0,0
8494,-1.6643028157495123,4.889365958607447,Nicaragua,-6.9747043,-7.4386954,0,2
8552,-0.250381242171128,6.531775195697709,Niger,-6.080183,-11.806988,0,2
8610,-2.6427703862088396,8.30369900086028,Nigeria,-19.688433,-10.348689,0,2
8668,-2.4004925858945607,6.722717061449733,Niue,-15.725002,-6.3037457,0,2
13613,-2.448114189423073,6.431644164976629,Norfolk Island,-14.908535,-6.1140475,0,2
8726,-2.305642381347027,6.300917015426234,North Korea,-14.7429695,-5.822556,0,2
8784,-2.039933573641455,4.134947478726852,North Macedonia,-5.762189,-4.8111477,0,2
8811,-0.904805344486627,2.2282086770474803,Northern Africa,-1.5665953,-1.791311,0,0
8869,16.989314031860566,1.5820076789724056,Northern America,2.898557,11.722969,2,1
13614,10.021506875551815,-2.6815444471326297,Northern Cyprus,4.191951,10.678143,4,3
8927,0.7839655444337359,-7.117597060188144,Northern Europe,12.178665,13.087514,4,3
13615,0.7050621281573665,-8.131882412179701,Northern Mariana Islands,13.929814,12.746696,4,3
8985,0.5249883693158824,-9.794729261044267,Norway,15.118084,13.080766,4,3
13616,2.2295016153945806,-5.641134080035035,OECD,15.14723,8.994801,4,3
9043,3.9047115762625446,-2.1045879803055674,Oceania,13.735844,3.3978105,0,0
9101,-4.4431587304949405,2.6421103953543117,Oman,3.307031,-7.4270816,0,0
9159,1.652435013863593,-4.047646246954508,Pacific Islands Trust Territory,13.003048,7.527063,4,3
9189,-0.14994616743465494,-5.132118900813025,Pakistan,12.520897,9.541525,4,3
13632,-0.7270576080934437,-4.403008789948446,Palau,11.338428,9.484911,4,3
9247,-2.0471786735017066,-3.9703847854073886,Palestine,10.466732,9.813542,4,3
9275,0.9071593331447635,2.5204172426238074,Panama,2.0521514,-4.155229,0,0
9333,-2.327055739232818,6.733468444295775,Papua New Guinea,-15.601567,-7.015224,0,2
9391,-1.8237420699984035,5.7795230477479675,Paraguay,-8.856564,-8.029135,0,2
13633,-2.163066376196829,3.917821815654645,Parma,-5.3732924,-4.0307407,0,2
9449,-2.3184294631239513,2.1512241795883607,Peru,4.6435757,-4.6612425,0,0
9507,-0.07725800255134725,-0.25666969050737976,Philippines,6.895988,3.1232877,0,0
13634,-0.34092165566243837,-1.7294070389680238,Pitcairn,8.25386,5.4981556,4,0
9565,-0.5901539293389568,-3.2452482346150524,Poland,9.776175,7.3114467,4,3
9623,3.030766880014991,2.4352524957673993,Polynesia,3.073444,2.8285444,0,0
9681,-3.667688400226699,1.2406003147083378,Portugal,6.7838035,-5.161277,0,0
9739,-0.5569071371332651,-0.12695012257207006,Puerto Rico,6.694058,1.4981527,0,0
9797,-0.8383264688489942,1.370154671559318,Qatar,4.322992,-0.9291631,0,0
13635,-1.0888781450089642,2.0457439217080475,Republic of Vietnam,-0.020781655,-2.1775877,0,0
9855,-1.1424961303321435,2.950896739634795,Reunion,-2.1559522,-3.8265603,0,0
9913,-1.698400672985724,4.035541597314077,Romania,-5.024695,-4.687603,0,2
9971,-0.8896506534186651,6.406384911726336,Russia,-14.815438,-2.5185194,0,2
9998,-2.0830832689514343,7.957717454058317,Rwanda,-19.671146,-7.4944744,0,2
13636,-2.8619345510308167,7.828971592699904,Saint Barth̩lemy,-17.317776,-11.578085,0,2
13637,-3.0204688523252585,7.877609785747262,Saint Helena,-17.29808,-11.532104,0,2
10056,-2.542336947004309,8.154172173107865,Saint Kitts and Nevis,-19.833675,-9.328392,0,2
10114,-3.325042015706067,7.801561385708577,Saint Lucia,-16.93693,-10.22962,0,2
13638,-3.0847945708302307,7.314765699247626,Saint Martin (French part),-16.419178,-11.040363,0,2
